Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;6;1;5;-49.53150000000001;70.10000000000001;-0.706583452211127;0.16666666666666666;-49.53150000000001;70.10000000000001;6;1;-0.706583452211127;0.16666666666666666
10;8;3;5;-11.4311;82.58;-0.13842455800435943;0.375;-60.96260000000001;152.68;14;4;-0.39928346869269066;0.2857142857142857
11;6;1;5;-41.81;65.41;-0.6391988992508791;0.16666666666666666;-102.77260000000001;218.09;20;5;-0.4712393965793939;0.25
12;6;0;6;-60.75;60.75;-1.0;0.0;-163.5226;278.84000000000003;26;5;-0.5864388179601204;0.19230769230769232
13;5;5;0;50.480000000000004;53.4;0.9453183520599252;1.0;-113.04260000000001;332.24;31;10;-0.3402437996628943;0.3225806451612903
14;7;1;6;-33.268;73.03999999999999;-0.45547645125958386;0.14285714285714285;-146.31060000000002;405.28;38;11;-0.361011152783261;0.2894736842105263
15;4;1;3;-15.600000000000001;40.0;-0.39;0.25;-161.91060000000002;445.28;42;12;-0.3636152533237514;0.2857142857142857
16;4;0;4;-41.7;41.7;-1.0;0.0;-203.61060000000003;486.97999999999996;46;12;-0.4181087518994621;0.2608695652173913
17;6;2;4;-23.52;63.019999999999996;-0.3732148524278007;0.3333333333333333;-227.13060000000004;550.0;52;14;-0.41296472727272737;0.2692307692307692
18;4;3;1;43.5406;41.59;1.0469006972830006;0.75;-183.59000000000003;591.59;56;17;-0.31033316993187854;0.30357142857142855
19;6;4;2;15.2952;61.32;0.24943248532289627;0.6666666666666666;-168.29480000000004;652.9100000000001;62;21;-0.2577611003047893;0.3387096774193548
20;6;1;5;-49.257999999999996;60.6;-0.8128382838283827;0.16666666666666666;-217.55280000000005;713.5100000000001;68;22;-0.3049050468809127;0.3235294117647059
21;6;2;4;-27.6385;61.45;-0.4497721724979658;0.3333333333333333;-245.19130000000004;774.9600000000002;74;24;-0.31639220088778774;0.32432432432432434
22;5;0;5;-51.05;51.05;-1.0;0.0;-296.2413;826.0100000000001;79;24;-0.3586412997421339;0.3037974683544304
23;8;3;5;-24.9628;81.71;-0.3055048341696243;0.375;-321.20410000000004;907.7200000000001;87;27;-0.3538581280571101;0.3103448275862069
24;4;3;1;50.0;40.0;1.25;0.75;-271.20410000000004;947.7200000000001;91;30;-0.28616479550922214;0.32967032967032966
25;8;2;6;-39.997800000000005;82.65;-0.48394192377495465;0.25;-311.2019;1030.3700000000001;99;32;-0.302029271038559;0.32323232323232326
26;4;1;3;-20.894799999999996;42.88;-0.4872854477611939;0.25;-332.0967;1073.2500000000002;103;33;-0.3094308874912648;0.32038834951456313
27;6;3;3;-3.6999999999999993;60.0;-0.061666666666666654;0.5;-335.7967;1133.2500000000002;109;36;-0.2963129936024707;0.3302752293577982
28;4;4;0;35.800000000000004;40.0;0.8950000000000001;1.0;-299.9967;1173.2500000000002;113;40;-0.2556971659919028;0.35398230088495575
29;7;3;4;-19.470000000000002;74.97;-0.2597038815526211;0.42857142857142855;-319.4667;1248.2200000000003;120;43;-0.25593781544919963;0.35833333333333334
30;5;3;2;1.2999999999999998;50.0;0.025999999999999995;0.6;-318.1667;1298.2200000000003;125;46;-0.24507918534608922;0.368
31;5;1;4;-37.96;50.46;-0.7522790328973444;0.2;-356.12669999999997;1348.6800000000003;130;47;-0.26405574339354027;0.36153846153846153
32;5;4;1;23.799999999999997;50.0;0.4759999999999999;0.8;-332.32669999999996;1398.6800000000003;135;51;-0.23760023736665992;0.37777777777777777
33;7;4;3;16.5366;71.31;0.23189734960033656;0.5714285714285714;-315.79009999999994;1469.9900000000002;142;55;-0.21482465867114733;0.3873239436619718
34;4;2;2;8.899999999999999;40.0;0.22249999999999998;0.5;-306.89009999999996;1509.9900000000002;146;57;-0.20323982278028327;0.3904109589041096
