Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;8;4;4;5.285500000000001;96.2;0.05494282744282745;0.5;5.285500000000001;96.2;8;4;0.05494282744282745;0.5
10;7;1;6;-54.51;71.41;-0.7633384680016805;0.14285714285714285;-49.2245;167.61;15;5;-0.293684744346996;0.3333333333333333
11;7;3;4;-30.6181;79.22;-0.3864945720777581;0.42857142857142855;-79.8426;246.83;22;8;-0.32347202528055746;0.36363636363636365
12;8;5;3;8.578100000000001;83.82000000000001;0.10233953710331663;0.625;-71.2645;330.65000000000003;30;13;-0.2155285044609103;0.43333333333333335
13;8;7;1;52.7314;81.31;0.6485229369081293;0.875;-18.533099999999997;411.96000000000004;38;20;-0.04498762015729681;0.5263157894736842
14;7;4;3;16.326099999999997;73.22;0.22297323135755254;0.5714285714285714;-2.2070000000000007;485.18000000000006;45;24;-0.004548827239375078;0.5333333333333333
15;8;5;3;16.7753;86.82;0.1932193043077632;0.625;14.5683;572.0;53;29;0.025469055944055945;0.5471698113207547
16;9;6;3;32.6475;96.77000000000001;0.33737211945850987;0.6666666666666666;47.2158;668.77;62;35;0.07060095399016104;0.5645161290322581
17;9;6;3;5.0859;98.24000000000001;0.05177015472312703;0.6666666666666666;52.301700000000004;767.01;71;41;0.0681890718504322;0.5774647887323944
18;5;3;2;11.8784;52.769999999999996;0.2250975933295433;0.6;64.18010000000001;819.78;76;44;0.07828941911244482;0.5789473684210527
19;7;4;3;11.679199999999998;75.92;0.15383561643835614;0.5714285714285714;75.8593;895.6999999999999;83;48;0.08469275427040304;0.5783132530120482
20;7;0;7;-80.39;80.39;-1.0;0.0;-4.530699999999996;976.0899999999999;90;48;-0.00464168263172453;0.5333333333333333
21;7;5;2;22.9;70.0;0.3271428571428571;0.7142857142857143;18.369300000000003;1046.09;97;53;0.01755996137999599;0.5463917525773195
22;6;4;2;16.2014;65.1;0.2488694316436252;0.6666666666666666;34.5707;1111.1899999999998;103;57;0.03111142108910268;0.5533980582524272
23;7;3;4;-6.946800000000003;75.42999999999999;-0.09209598303062447;0.42857142857142855;27.6239;1186.62;110;60;0.023279482901012963;0.5454545454545454
24;4;2;2;33.449200000000005;41.87;0.798882254597564;0.5;61.073100000000004;1228.4899999999998;114;62;0.04971395778557417;0.543859649122807
25;8;4;4;2.3469999999999978;82.3;0.02851761846901577;0.5;63.420100000000005;1310.7899999999997;122;66;0.04838311247415682;0.5409836065573771
26;7;2;5;-22.711999999999996;72.93;-0.31142191142191133;0.2857142857142857;40.70810000000001;1383.7199999999998;129;68;0.02941931893735728;0.5271317829457365
27;8;5;3;26.078599999999994;84.35000000000001;0.309171310017783;0.625;66.7867;1468.0699999999997;137;73;0.04549285796998782;0.5328467153284672
28;9;2;7;-58.59;98.58999999999999;-0.5942793386753221;0.2222222222222222;8.196699999999993;1566.6599999999996;146;75;0.005231958433865673;0.5136986301369864
29;9;3;6;-47.33839999999999;103.16;-0.45888328809616125;0.3333333333333333;-39.1417;1669.8199999999997;155;78;-0.02344067025188344;0.5032258064516129
30;6;4;2;4.499999999999999;62.7;0.07177033492822965;0.6666666666666666;-34.6417;1732.5199999999998;161;82;-0.019994978412947617;0.5093167701863354
31;8;4;4;27.190000000000005;82.21000000000001;0.3307383529984187;0.5;-7.451699999999995;1814.7299999999998;169;86;-0.004106230678943973;0.5088757396449705
32;6;4;2;15.9315;61.85;0.2575828617623282;0.6666666666666666;8.479800000000004;1876.5799999999997;175;90;0.004518752198147697;0.5142857142857142
33;7;3;4;-24.1796;71.74000000000001;-0.33704488430443263;0.42857142857142855;-15.699799999999996;1948.3199999999997;182;93;-0.008058121869097478;0.510989010989011
34;3;3;0;67.0;30.0;2.2333333333333334;1.0;51.300200000000004;1978.3199999999997;185;96;0.025931194144526677;0.518918918918919
