Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;6;4;2;10.211700000000004;67.47;0.15135171187194316;0.6666666666666666;10.211700000000004;67.47;6;4;0.15135171187194316;0.6666666666666666
10;7;5;2;62.77720000000001;73.78999999999999;0.8507548448299229;0.7142857142857143;72.98890000000002;141.26;13;9;0.516698994761433;0.6923076923076923
11;8;6;2;17.198500000000006;83.27;0.20653896961690893;0.75;90.18740000000003;224.52999999999997;21;15;0.4016719369349309;0.7142857142857143
12;7;4;3;-13.492500000000003;77.25;-0.1746601941747573;0.5714285714285714;76.69490000000002;301.78;28;19;0.25414175889720997;0.6785714285714286
13;9;6;3;27.635499999999997;97.69000000000001;0.28288975330125904;0.6666666666666666;104.33040000000001;399.46999999999997;37;25;0.26117205297018553;0.6756756756756757
14;7;4;3;8.499999999999996;70.0;0.12142857142857137;0.5714285714285714;112.83040000000001;469.46999999999997;44;29;0.24033569770166363;0.6590909090909091
15;9;7;2;72.4187;94.98;0.7624626237102547;0.7777777777777778;185.2491;564.4499999999999;53;36;0.3281939941536009;0.6792452830188679
16;8;5;3;11.699999999999998;80.0;0.14624999999999996;0.625;196.9491;644.4499999999999;61;41;0.30560803786174257;0.6721311475409836
17;9;4;5;-21.336199999999998;97.35;-0.21917000513610682;0.4444444444444444;175.6129;741.8;70;45;0.23673887840388247;0.6428571428571429
18;9;5;4;15.900000000000002;90.0;0.1766666666666667;0.5555555555555556;191.5129;831.8;79;50;0.23023911998076463;0.6329113924050633
19;9;5;4;24.680000000000003;91.0;0.27120879120879127;0.5555555555555556;216.1929;922.8;88;55;0.2342792587776333;0.625
20;9;4;5;-23.423;94.49;-0.2478886654672452;0.4444444444444444;192.7699;1017.29;97;59;0.18949355640967672;0.6082474226804123
21;9;4;5;2.8600000000000065;90.94;0.031449307235539986;0.4444444444444444;195.62990000000002;1108.23;106;63;0.1765246383873384;0.5943396226415094
22;9;4;5;-18.495500000000007;92.08;-0.20086337966985238;0.4444444444444444;177.13440000000003;1200.31;115;67;0.14757387674850667;0.5826086956521739
23;8;2;6;-1.0500000000000007;80.65;-0.013019218846869195;0.25;176.08440000000002;1280.96;123;69;0.13746284036972273;0.5609756097560976
24;9;5;4;4.2986;92.23;0.04660739455708555;0.5555555555555556;180.383;1373.19;132;74;0.131360554620992;0.5606060606060606
25;9;5;4;15.516399999999999;90.12;0.17217487794052372;0.5555555555555556;195.8994;1463.31;141;79;0.1338741620025832;0.5602836879432624
26;6;5;1;18.699999999999996;60.0;0.3116666666666666;0.8333333333333334;214.5994;1523.31;147;84;0.14087703750385674;0.5714285714285714
27;8;2;6;-36.400000000000006;80.0;-0.45500000000000007;0.25;178.1994;1603.31;155;86;0.11114469441343221;0.5548387096774193
28;5;2;3;14.059999999999995;50.04;0.2809752198241406;0.4;192.2594;1653.35;160;88;0.11628475519400007;0.55
29;7;4;3;-3.3000000000000007;70.0;-0.04714285714285715;0.5714285714285714;188.9594;1723.35;167;92;0.1096465604781385;0.5508982035928144
30;8;4;4;-8.2;80.0;-0.1025;0.5;180.7594;1803.35;175;96;0.10023533978429035;0.5485714285714286
31;8;4;4;13.719999999999999;83.18;0.16494349603270014;0.5;194.4794;1886.53;183;100;0.10308842159944448;0.546448087431694
32;9;4;5;-12.921400000000002;90.45;-0.14285682697622998;0.4444444444444444;181.558;1976.98;192;104;0.09183603273680058;0.5416666666666666
33;8;2;6;-42.245599999999996;83.66999999999999;-0.5049073742081989;0.25;139.3124;2060.65;200;106;0.06760604663577026;0.53
34;5;4;1;33.7869;52.72;0.640874430955994;0.8;173.0993;2113.37;205;110;0.0819067650245816;0.5365853658536586
