Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;8;6;2;32.134499999999996;82.27;0.39059803087395156;0.75;32.134499999999996;82.27;8;6;0.39059803087395156;0.75
10;5;2;3;-23.2972;53.48;-0.43562453253552735;0.4;8.837299999999995;135.75;13;8;0.06509981583793735;0.6153846153846154
11;8;3;5;-27.085700000000003;84.62;-0.3200862680217443;0.375;-18.248400000000007;220.37;21;11;-0.08280800471933569;0.5238095238095238
12;6;3;3;-11.9553;61.230000000000004;-0.19525232729054381;0.5;-30.203700000000005;281.6;27;14;-0.10725745738636365;0.5185185185185185
13;7;4;3;8.527900000000002;74.59;0.11433033918755868;0.5714285714285714;-21.675800000000002;356.19000000000005;34;18;-0.060854600072994744;0.5294117647058824
14;7;4;3;-2.2172000000000036;75.57;-0.029339685060209127;0.5714285714285714;-23.893000000000008;431.76000000000005;41;22;-0.05533861404483974;0.5365853658536586
15;6;1;5;-45.38;62.980000000000004;-0.7205462051444903;0.16666666666666666;-69.27300000000001;494.74000000000007;47;23;-0.14001899987872418;0.48936170212765956
16;4;3;1;12.765800000000004;48.08;0.2655116472545758;0.75;-56.507200000000005;542.82;51;26;-0.10409933311226557;0.5098039215686274
17;6;4;2;22.339100000000002;63.39;0.35240731976652473;0.6666666666666666;-34.1681;606.21;57;30;-0.05636347140429884;0.5263157894736842
18;8;6;2;43.3835;88.19000000000001;0.49193219185848724;0.75;9.215399999999995;694.4000000000001;65;36;0.013271025345622111;0.5538461538461539
19;6;4;2;20.140299999999996;74.65;0.26979638312123233;0.6666666666666666;29.35569999999999;769.0500000000001;71;40;0.03817138027436446;0.5633802816901409
20;7;5;2;43.72789999999999;79.58;0.549483538577532;0.7142857142857143;73.08359999999999;848.6300000000001;78;45;0.08611951026949316;0.5769230769230769
21;6;4;2;11.295100000000001;72.44;0.1559235229155163;0.6666666666666666;84.3787;921.0700000000002;84;49;0.09160943250784412;0.5833333333333334
22;7;6;1;55.1101;79.05;0.6971549652118912;0.8571428571428571;139.4888;1000.1200000000001;91;55;0.1394720633523977;0.6043956043956044
23;5;3;2;2.096700000000001;55.47;0.037798810167658216;0.6;141.5855;1055.5900000000001;96;58;0.13412925472958248;0.6041666666666666
24;4;2;2;-15.074999999999998;43.13;-0.34952469278924175;0.5;126.5105;1098.7200000000003;100;60;0.11514353065385172;0.6
25;6;3;3;-1.279500000000004;72.27;-0.017704441677044474;0.5;125.231;1170.9900000000002;106;63;0.10694455119172663;0.5943396226415094
26;5;2;3;-10.932000000000002;57.739999999999995;-0.18933148597159688;0.4;114.29899999999999;1228.7300000000002;111;65;0.09302206343134779;0.5855855855855856
27;5;4;1;39.173199999999994;56.09;0.6983990016045639;0.8;153.4722;1284.8200000000002;116;69;0.11945035102193301;0.5948275862068966
28;5;3;2;11.458399999999997;56.08;0.2043223965763195;0.6;164.93059999999997;1340.9;121;72;0.12299992542322317;0.5950413223140496
29;3;2;1;7.832599999999999;33.209999999999994;0.23585064739536288;0.6666666666666666;172.76319999999998;1374.1100000000001;124;74;0.12572734351689455;0.5967741935483871
30;3;0;3;-32.199999999999996;32.199999999999996;-1.0;0.0;140.5632;1406.3100000000002;127;74;0.0999517887236811;0.5826771653543307
31;5;3;2;-4.238399999999999;50.14;-0.0845313123254886;0.6;136.32479999999998;1456.4500000000003;132;77;0.09360074152906035;0.5833333333333334
32;6;5;1;29.182499999999997;60.85;0.47958093672966307;0.8333333333333334;165.5073;1517.3000000000002;138;82;0.10908014235813614;0.5942028985507246
33;7;6;1;45.5424;73.44;0.6201307189542484;0.8571428571428571;211.04969999999997;1590.7400000000002;145;88;0.13267391277015725;0.6068965517241379
34;4;3;1;-0.5755999999999997;42.49;-0.01354671687455871;0.75;210.47409999999996;1633.2300000000002;149;91;0.12886984686786304;0.610738255033557
