Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;8;2;6;-69.69300000000001;98.30999999999999;-0.7089105889533112;0.25;-69.69300000000001;98.30999999999999;8;2;-0.7089105889533112;0.25
10;7;3;4;-15.1868;76.53;-0.1984424408728603;0.42857142857142855;-84.87980000000002;174.83999999999997;15;5;-0.4854712880347748;0.3333333333333333
11;8;4;4;4.203399999999995;83.88;0.050112064854554064;0.5;-80.67640000000003;258.71999999999997;23;9;-0.31182900432900446;0.391304347826087
12;9;3;6;-6.941299999999998;94.47;-0.07347623584206625;0.3333333333333333;-87.61770000000003;353.18999999999994;32;12;-0.2480752569438547;0.375
13;8;3;5;-39.4586;85.1;-0.4636733254994124;0.375;-127.07630000000003;438.28999999999996;40;15;-0.2899365716762875;0.375
14;9;5;4;19.6266;94.41;0.20788687639021292;0.5555555555555556;-107.44970000000004;532.6999999999999;49;20;-0.2017077154120519;0.40816326530612246
15;8;2;6;7.266300000000001;81.89;0.0887324459640982;0.25;-100.18340000000003;614.5899999999999;57;22;-0.16300850973819953;0.38596491228070173
16;9;4;5;3.4975000000000023;94.22;0.03712056888134157;0.4444444444444444;-96.68590000000003;708.81;66;26;-0.13640594799734773;0.3939393939393939
17;9;5;4;37.2644;95.65;0.38959121798222685;0.5555555555555556;-59.42150000000003;804.4599999999999;75;31;-0.07386507719463993;0.41333333333333333
18;9;3;6;-9.787400000000002;92.9;-0.1053541442411195;0.3333333333333333;-69.20890000000003;897.3599999999999;84;34;-0.07712501114379963;0.40476190476190477
19;8;4;4;6.214399999999998;83.6;0.07433492822966505;0.5;-62.99450000000003;980.9599999999999;92;38;-0.06421719540042412;0.41304347826086957
20;8;2;6;-61.547999999999995;90.99000000000001;-0.6764259808770193;0.25;-124.54250000000002;1071.9499999999998;100;40;-0.1161831242128831;0.4
21;9;3;6;-48.49849999999999;97.71;-0.4963514481629311;0.3333333333333333;-173.041;1169.6599999999999;109;43;-0.14794128208197255;0.3944954128440367
22;5;3;2;32.9406;52.94;0.6222251605591236;0.6;-140.10039999999998;1222.6;114;46;-0.11459218059872402;0.40350877192982454
23;7;3;4;-20.184800000000003;74.9;-0.26948998664886514;0.42857142857142855;-160.28519999999997;1297.5;121;49;-0.12353387283236993;0.4049586776859504
24;7;3;4;21.4857;73.69;0.2915687338851948;0.42857142857142855;-138.79949999999997;1371.19;128;52;-0.10122557778280176;0.40625
25;5;0;5;-52.99;52.99;-1.0;0.0;-191.78949999999998;1424.18;133;52;-0.13466661517504808;0.39097744360902253
26;5;2;3;-13.234799999999998;51.82;-0.2553994596680818;0.4;-205.02429999999998;1476.0;138;54;-0.13890535230352302;0.391304347826087
27;4;2;2;-10.3;40.0;-0.2575;0.5;-215.3243;1516.0;142;56;-0.14203449868073878;0.39436619718309857
28;5;2;3;3.7500000000000036;51.45;0.07288629737609335;0.4;-211.5743;1567.45;147;58;-0.13497993556413282;0.3945578231292517
29;4;0;4;-40.0;40.0;-1.0;0.0;-251.5743;1607.45;151;58;-0.15650521011540017;0.3841059602649007
30;7;1;6;-41.7;72.7;-0.5735900962861074;0.14285714285714285;-293.2743;1680.15;158;59;-0.17455245067404693;0.37341772151898733
31;6;5;1;36.54;60.46;0.6043665233212041;0.8333333333333334;-256.73429999999996;1740.6100000000001;164;64;-0.1474967396487438;0.3902439024390244
32;7;3;4;-15.099999999999994;70.0;-0.21571428571428564;0.42857142857142855;-271.8343;1810.6100000000001;171;67;-0.15013409845300754;0.391812865497076
33;7;1;6;-53.099399999999996;71.13;-0.7465120202446225;0.14285714285714285;-324.9337;1881.7400000000002;178;68;-0.17267725615653595;0.38202247191011235
34;8;1;7;-30.0;80.0;-0.375;0.125;-354.9337;1961.7400000000002;186;69;-0.18092800269148815;0.3709677419354839
