Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;8;6;2;16.9798;91.04;0.1865092267135325;0.75;16.9798;91.04;8;6;0.1865092267135325;0.75
10;6;3;3;-3.2999999999999954;60.4;-0.0546357615894039;0.5;13.679800000000006;151.44;14;9;0.09033148441627051;0.6428571428571429
11;7;3;4;-21.89;74.39;-0.2942599811802662;0.42857142857142855;-8.210199999999995;225.82999999999998;21;12;-0.03635566576628435;0.5714285714285714
12;5;2;3;-22.563000000000002;54.95;-0.41060964513193815;0.4;-30.773199999999996;280.78;26;14;-0.10959897428591779;0.5384615384615384
13;7;5;2;48.6138;72.85000000000001;0.6673136582017843;0.7142857142857143;17.840600000000002;353.63;33;19;0.0504499052682182;0.5757575757575758
14;5;1;4;-24.1;50.0;-0.48200000000000004;0.2;-6.259399999999999;403.63;38;20;-0.01550776701434482;0.5263157894736842
15;8;2;6;-41.48530000000001;83.1;-0.4992214199759328;0.25;-47.74470000000001;486.73;46;22;-0.09809278244612003;0.4782608695652174
16;8;3;5;-18.731399999999997;80.07;-0.2339378044211315;0.375;-66.4761;566.8;54;25;-0.1172831686661962;0.46296296296296297
17;5;2;3;15.700000000000003;50.0;0.31400000000000006;0.4;-50.7761;616.8;59;27;-0.08232182230869002;0.4576271186440678
18;8;3;5;16.7;80.0;0.20875;0.375;-34.0761;696.8;67;30;-0.048903702640642935;0.44776119402985076
19;7;3;4;6.079999999999998;70.02;0.08683233361896599;0.42857142857142855;-27.9961;766.8199999999999;74;33;-0.03650935030385227;0.44594594594594594
20;7;5;2;49.260999999999996;72.65;0.6780591878871299;0.7142857142857143;21.264899999999997;839.4699999999999;81;38;0.025331340012150524;0.4691358024691358
21;8;6;2;46.868900000000004;80.13;0.5849107699987521;0.75;68.13380000000001;919.5999999999999;89;44;0.0740906916050457;0.4943820224719101
22;9;4;5;76.40820000000001;92.43;0.8266601752677702;0.4444444444444444;144.54200000000003;1012.03;98;48;0.14282382933312257;0.4897959183673469
23;6;3;3;-9.164000000000001;60.12;-0.15242847638057222;0.5;135.37800000000004;1072.1499999999999;104;51;0.1262677796950054;0.49038461538461536
24;8;2;6;-44.90140000000001;85.13;-0.5274450839891931;0.25;90.47660000000003;1157.2799999999997;112;53;0.07818038849716581;0.4732142857142857
25;9;7;2;26.337000000000003;95.24;0.2765329693406132;0.7777777777777778;116.81360000000004;1252.5199999999998;121;60;0.09326286207006679;0.49586776859504134
26;8;4;4;-7.544900000000001;83.03;-0.09086956521739131;0.5;109.26870000000004;1335.5499999999997;129;64;0.08181550672007791;0.49612403100775193
27;7;1;6;-57.5;70.0;-0.8214285714285714;0.14285714285714285;51.76870000000004;1405.5499999999997;136;65;0.03683163174558006;0.47794117647058826
28;8;4;4;-20.370800000000003;88.81;-0.2293750703749578;0.5;31.397900000000035;1494.3599999999997;144;69;0.021010934446853532;0.4791666666666667
29;9;6;3;27.583199999999998;92.16;0.29929687499999996;0.6666666666666666;58.98110000000003;1586.5199999999998;153;75;0.03717639865869957;0.49019607843137253
30;8;4;4;-15.174699999999998;87.92;-0.17259667879890808;0.5;43.80640000000004;1674.4399999999998;161;79;0.026161821265617186;0.4906832298136646
31;6;2;4;-24.200300000000006;69.89;-0.34626269852625563;0.3333333333333333;19.606100000000033;1744.33;167;81;0.011239903000005753;0.48502994011976047
32;5;2;3;-19.4703;51.37;-0.37902082927778863;0.4;0.13580000000003167;1795.6999999999998;172;83;7.562510441612278e-05;0.48255813953488375
33;7;2;5;-43.598499999999994;75.07;-0.5807712801385373;0.2857142857142857;-43.46269999999996;1870.7699999999998;179;85;-0.023232519230049643;0.4748603351955307
34;4;2;2;-10.980799999999999;41.31;-0.2658145727426773;0.5;-54.44349999999996;1912.0799999999997;183;87;-0.02847344253378518;0.47540983606557374
