Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;5;4;1;12.186700000000002;59.55;0.20464651553316546;0.8;12.186700000000002;59.55;5;4;0.20464651553316546;0.8
10;9;7;2;43.49150000000001;103.27;0.42114360414447577;0.7777777777777778;55.67820000000001;162.82;14;11;0.3419616754698441;0.7857142857142857
11;6;3;3;-13.316000000000003;67.59;-0.19701139221778372;0.5;42.36220000000001;230.41;20;14;0.18385573542814987;0.7
12;5;4;1;9.326999999999998;50.959999999999994;0.1830259026687598;0.8;51.68920000000001;281.37;25;18;0.18370544123396243;0.72
13;7;4;3;4.941799999999997;71.26;0.0693488633174291;0.5714285714285714;56.631;352.63;32;22;0.16059609222130847;0.6875
14;6;1;5;-35.67;60.57;-0.5889053987122338;0.16666666666666666;20.961;413.2;38;23;0.05072846079380445;0.6052631578947368
15;9;6;3;18.551000000000002;92.96;0.19955895008605856;0.6666666666666666;39.512;506.15999999999997;47;29;0.07806227279911492;0.6170212765957447
16;9;7;2;32.988099999999996;90.92999999999999;0.3627856592983614;0.7777777777777778;72.5001;597.0899999999999;56;36;0.12142239863337187;0.6428571428571429
17;8;2;6;-51.5162;83.93;-0.6137995949005123;0.25;20.983900000000006;681.02;64;38;0.030812457783912377;0.59375
18;7;4;3;-4.199999999999996;70.0;-0.05999999999999994;0.5714285714285714;16.78390000000001;751.02;71;42;0.022348139863119506;0.5915492957746479
19;7;4;3;12.059999999999997;78.02;0.15457574980774158;0.5714285714285714;28.843900000000005;829.04;78;46;0.03479192801312362;0.5897435897435898
20;8;3;5;-8.900000000000002;80.0;-0.11125000000000003;0.375;19.943900000000003;909.04;86;49;0.021939518613042334;0.5697674418604651
21;9;3;6;-34.0913;92.92;-0.36688872148084367;0.3333333333333333;-14.147399999999994;1001.9599999999999;95;52;-0.014119725338336855;0.5473684210526316
22;8;4;4;1.5;80.0;0.01875;0.5;-12.647399999999994;1081.96;103;56;-0.011689341565307399;0.5436893203883495
23;8;4;4;-5.084000000000003;81.74000000000001;-0.062197210667971646;0.5;-17.731399999999997;1163.7;111;60;-0.015237088596717364;0.5405405405405406
24;7;2;5;-38.8874;70.03;-0.555296301585035;0.2857142857142857;-56.61879999999999;1233.73;118;62;-0.045892375155017706;0.5254237288135594
25;8;5;3;50.0642;88.81;0.5637225537664677;0.625;-6.5545999999999935;1322.54;126;67;-0.004956069381644407;0.5317460317460317
26;5;3;2;5.846999999999998;52.19;0.11203295650507757;0.6;-0.7075999999999958;1374.73;131;70;-0.0005147192539625932;0.5343511450381679
27;8;4;4;31.4;80.0;0.39249999999999996;0.5;30.692400000000003;1454.73;139;74;0.02109834814707884;0.5323741007194245
28;6;2;4;-29.1717;62.620000000000005;-0.46585276269562437;0.3333333333333333;1.5207000000000015;1517.35;145;76;0.001002207796487298;0.5241379310344828
29;7;2;5;-24.261400000000002;76.92;-0.31541081643265734;0.2857142857142857;-22.7407;1594.27;152;78;-0.014264020523499784;0.5131578947368421
30;8;4;4;-13.1617;84.71;-0.15537362767087712;0.5;-35.9024;1678.98;160;82;-0.021383459004872006;0.5125
31;7;4;3;27.382699999999993;76.94999999999999;0.3558505523066926;0.5714285714285714;-8.519700000000007;1755.93;167;86;-0.004851958791067985;0.5149700598802395
32;7;4;3;27.852400000000003;73.71000000000001;0.3778646045312712;0.5714285714285714;19.332699999999996;1829.64;174;90;0.010566395575085806;0.5172413793103449
33;6;3;3;34.85;62.05;0.5616438356164384;0.5;54.1827;1891.69;180;93;0.02864248370504681;0.5166666666666667
34;7;1;6;-56.3808;71.31;-0.7906436684896929;0.14285714285714285;-2.1981000000000037;1963.0;187;94;-0.0011197656647987792;0.5026737967914439
