Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;9;4;5;-43.2145;110.19999999999999;-0.3921460980036298;0.4444444444444444;-43.2145;110.19999999999999;9;4;-0.3921460980036298;0.4444444444444444
10;8;3;5;-25.134500000000003;85.96000000000001;-0.2923976268031643;0.375;-68.349;196.16;17;7;-0.34843495106035893;0.4117647058823529
11;6;5;1;19.931900000000002;61.47;0.3242541076948105;0.8333333333333334;-48.417100000000005;257.63;23;12;-0.1879326941738152;0.5217391304347826
12;8;3;5;-25.6903;90.32000000000001;-0.2844364481842338;0.375;-74.10740000000001;347.95;31;15;-0.21298289984193136;0.4838709677419355
13;6;3;3;-13.12;61.82;-0.2122290520867033;0.5;-87.22740000000002;409.77;37;18;-0.2128691705102863;0.4864864864864865
14;7;2;5;-35.1;70.0;-0.5014285714285714;0.2857142857142857;-122.32740000000001;479.77;44;20;-0.2549709235675428;0.45454545454545453
15;8;4;4;12.401200000000003;84.75;0.14632684365781715;0.5;-109.92620000000001;564.52;52;24;-0.19472507617090629;0.46153846153846156
16;7;2;5;-31.099999999999998;70.0;-0.44428571428571423;0.2857142857142857;-141.02620000000002;634.52;59;26;-0.22225650885708886;0.4406779661016949
17;7;5;2;48.1;70.0;0.6871428571428572;0.7142857142857143;-92.92620000000002;704.52;66;31;-0.1319000170328735;0.4696969696969697
18;8;3;5;-19.169999999999998;84.37;-0.22721346450160007;0.375;-112.09620000000002;788.89;74;34;-0.14209357451609225;0.4594594594594595
19;9;2;7;-47.9048;91.32;-0.5245816907577749;0.2222222222222222;-160.00100000000003;880.21;83;36;-0.18177593983253998;0.43373493975903615
20;6;2;4;6.890000000000001;62.21;0.11075389808712427;0.3333333333333333;-153.11100000000005;942.4200000000001;89;38;-0.16246577958871844;0.42696629213483145
21;6;2;4;-34.8522;67.74;-0.5144995571302038;0.3333333333333333;-187.96320000000006;1010.1600000000001;95;40;-0.18607270135424095;0.42105263157894735
22;6;2;4;8.660799999999998;62.16;0.1393307593307593;0.3333333333333333;-179.30240000000006;1072.3200000000002;101;42;-0.1672097881229484;0.4158415841584158
23;8;3;5;-29.034800000000004;83.75;-0.3466841791044777;0.375;-208.33720000000005;1156.0700000000002;109;45;-0.18021157888363162;0.41284403669724773
24;6;1;5;-21.5;60.0;-0.35833333333333334;0.16666666666666666;-229.83720000000005;1216.0700000000002;115;46;-0.18899997533036753;0.4
25;6;3;3;261.57;60.93;4.292959133431807;0.5;31.73279999999994;1277.0000000000002;121;49;0.02484949099451835;0.4049586776859504
26;8;2;6;-31.3;80.0;-0.39125;0.25;0.4327999999999399;1357.0000000000002;129;51;0.00031893883566686795;0.3953488372093023
27;7;2;5;-27.850600000000004;73.38;-0.3795393840283457;0.2857142857142857;-27.417800000000064;1430.38;136;53;-0.01916819306757649;0.3897058823529412
28;8;2;6;-29.15;81.45;-0.3578882750153468;0.25;-56.56780000000006;1511.8300000000002;144;55;-0.03741677304987998;0.3819444444444444
29;9;6;3;25.450399999999995;92.02;0.27657465768311235;0.6666666666666666;-31.117400000000067;1603.8500000000001;153;61;-0.01940168968419744;0.39869281045751637
30;7;2;5;-40.400000000000006;72.7;-0.5557083906464925;0.2857142857142857;-71.51740000000007;1676.5500000000002;160;63;-0.042657481136858466;0.39375
31;8;0;8;-81.9;81.9;-1.0;0.0;-153.41740000000007;1758.4500000000003;168;63;-0.08724581307401408;0.375
32;4;2;2;-11.299999999999999;40.0;-0.2825;0.5;-164.71740000000008;1798.4500000000003;172;65;-0.09158853457143655;0.37790697674418605
33;7;4;3;25.099999999999998;70.0;0.35857142857142854;0.5714285714285714;-139.6174000000001;1868.4500000000003;179;69;-0.0747236479434826;0.3854748603351955
34;6;4;2;35.2;60.0;0.5866666666666667;0.6666666666666666;-104.41740000000009;1928.4500000000003;185;73;-0.0541457647333351;0.3945945945945946
