Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;7;6;1;43.0043;75.03999999999999;0.5730850213219617;0.8571428571428571;43.0043;75.03999999999999;7;6;0.5730850213219617;0.8571428571428571
10;7;6;1;32.3776;78.8;0.4108832487309645;0.8571428571428571;75.3819;153.83999999999997;14;12;0.49000195007800323;0.8571428571428571
11;7;3;4;-19.9265;73.38;-0.27155219405832653;0.42857142857142855;55.4554;227.21999999999997;21;15;0.244060382008626;0.7142857142857143
12;8;5;3;15.1447;81.23;0.18644220115720792;0.625;70.6001;308.45;29;20;0.22888669152212676;0.6896551724137931
13;6;2;4;-22.476599999999998;60.66;-0.3705341246290801;0.3333333333333333;48.1235;369.11;35;22;0.13037712335076265;0.6285714285714286
14;7;4;3;4.299999999999997;70.0;0.06142857142857139;0.5714285714285714;52.4235;439.11;42;26;0.11938580310172849;0.6190476190476191
15;8;3;5;8.81999999999999;82.98;0.10629067245119293;0.375;61.24349999999998;522.09;50;29;0.1173044877320002;0.58
16;6;4;2;19.3418;61.26;0.31573294156056153;0.6666666666666666;80.58529999999999;583.35;56;33;0.13814228164909573;0.5892857142857143
17;6;0;6;-61.99;61.99;-1.0;0.0;18.595299999999988;645.34;62;33;0.02881473331887065;0.532258064516129
18;9;4;5;-27.033999999999995;91.61;-0.295098788341884;0.4444444444444444;-8.438700000000008;736.95;71;37;-0.011450844697740699;0.5211267605633803
19;8;5;3;25.6753;91.03;0.28205316928485114;0.625;17.236599999999992;827.98;79;42;0.020817652600304347;0.5316455696202531
20;7;5;2;43.47089999999999;76.83;0.5658063256540413;0.7142857142857143;60.70749999999998;904.8100000000001;86;47;0.0670941965716559;0.5465116279069767
21;8;2;6;-49.894400000000005;91.56;-0.5449366535605068;0.25;10.813099999999977;996.3700000000001;94;49;0.010852494555235482;0.5212765957446809
22;9;7;2;54.180099999999996;101.18;0.5354823087566712;0.7777777777777778;64.99319999999997;1097.5500000000002;103;56;0.059216618832854964;0.5436893203883495
23;9;3;6;-45.075100000000006;95.49000000000001;-0.47204000418892034;0.3333333333333333;19.918099999999967;1193.0400000000002;112;59;0.016695249111513415;0.5267857142857143
24;9;3;6;-49.535000000000004;97.59;-0.5075827441336203;0.3333333333333333;-29.616900000000037;1290.63;121;62;-0.02294763022709842;0.512396694214876
25;8;4;4;0.5940000000000012;80.9;0.0073423980222497055;0.5;-29.022900000000035;1371.5300000000002;129;66;-0.021160966220206655;0.5116279069767442
26;9;4;5;-9.832;97.74;-0.10059341109064868;0.4444444444444444;-38.854900000000036;1469.2700000000002;138;70;-0.026445037331463944;0.5072463768115942
27;9;3;6;-18.4125;92.75;-0.19851752021563343;0.3333333333333333;-57.26740000000004;1562.0200000000002;147;73;-0.03666239868887724;0.4965986394557823
28;8;3;5;-15.3598;84.89;-0.18093768406172694;0.375;-72.62720000000004;1646.9100000000003;155;76;-0.04409907038028795;0.49032258064516127
29;9;7;2;84.27640000000001;94.86999999999999;0.8883356171603248;0.7777777777777778;11.649199999999965;1741.7800000000002;164;83;0.0066881006786161075;0.5060975609756098
30;9;1;8;-58.599999999999994;92.19999999999999;-0.6355748373101953;0.1111111111111111;-46.95080000000003;1833.9800000000002;173;84;-0.025600497279141553;0.48554913294797686
31;9;7;2;48.058800000000005;96.44;0.4983284944006637;0.7777777777777778;1.1079999999999757;1930.4200000000003;182;91;0.0005739683592171524;0.5
32;9;8;1;56.166;96.87;0.579807990089811;0.8888888888888888;57.27399999999997;2027.2900000000004;191;99;0.028251508171006596;0.518324607329843
33;7;4;3;12.5424;73.44;0.17078431372549022;0.5714285714285714;69.81639999999997;2100.7300000000005;198;103;0.033234351868160095;0.5202020202020202
34;9;5;4;-0.16559999999999953;90.68;-0.0018262020291133602;0.5555555555555556;69.65079999999998;2191.4100000000003;207;108;0.03178355488019128;0.5217391304347826
