Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;7;6;1;38.82790000000001;77.65;0.5000373470701868;0.8571428571428571;38.82790000000001;77.65;7;6;0.5000373470701868;0.8571428571428571
10;6;4;2;50.960300000000004;61.59;0.8274119175190778;0.6666666666666666;89.78820000000002;139.24;13;10;0.6448448721631715;0.7692307692307693
11;7;5;2;22.2402;72.41;0.3071426598536114;0.7142857142857143;112.02840000000002;211.65;20;15;0.5293097094259391;0.75
12;7;2;5;-18.299999999999997;74.0;-0.24729729729729727;0.2857142857142857;93.72840000000002;285.65;27;17;0.32812322772623853;0.6296296296296297
13;9;4;5;3.5699999999999985;92.63;0.03854042966641475;0.4444444444444444;97.29840000000002;378.28;36;21;0.25721264671671784;0.5833333333333334
14;4;2;2;14.887299999999996;44.18;0.3369692168401991;0.5;112.18570000000001;422.46;40;23;0.2655534251763481;0.575
15;8;0;8;-82.69;82.69;-1.0;0.0;29.495700000000014;505.15;48;23;0.05838998317331489;0.4791666666666667
16;7;2;5;-38.0;70.0;-0.5428571428571428;0.2857142857142857;-8.504299999999986;575.15;55;25;-0.014786229679214094;0.45454545454545453
17;8;2;6;13.699999999999996;82.8;0.1654589371980676;0.25;5.195700000000009;657.9499999999999;63;27;0.00789680066874384;0.42857142857142855
18;7;3;4;283.83000000000004;74.97;3.785914365746299;0.42857142857142855;289.02570000000003;732.92;70;30;0.39434822354417953;0.42857142857142855
19;8;0;8;-84.68;84.68;-1.0;0.0;204.34570000000002;817.5999999999999;78;30;0.2499335861056752;0.38461538461538464
20;9;3;6;-30.9158;93.11;-0.332035227150682;0.3333333333333333;173.42990000000003;910.7099999999999;87;33;0.19043372753126686;0.3793103448275862
21;7;4;3;7.1076000000000015;71.02000000000001;0.10007885102787947;0.5714285714285714;180.53750000000002;981.7299999999999;94;37;0.18389730373931737;0.39361702127659576
22;7;2;5;-26.876600000000003;70.81;-0.3795593842677588;0.2857142857142857;153.66090000000003;1052.54;101;39;0.14599055617838755;0.38613861386138615
23;9;1;8;-72.6644;93.53;-0.7769100823265263;0.1111111111111111;80.99650000000003;1146.07;110;40;0.07067325730540022;0.36363636363636365
24;7;3;4;-6.208600000000001;72.21;-0.0859797811937405;0.42857142857142855;74.78790000000002;1218.28;117;43;0.06138810454082807;0.36752136752136755
25;8;2;6;-39.083600000000004;80.12;-0.48781328007988023;0.25;35.70430000000002;1298.4;125;45;0.02749869069624154;0.36
26;4;3;1;25.746999999999996;42.19;0.6102630955202654;0.75;61.45130000000002;1340.5900000000001;129;48;0.04583899626283951;0.37209302325581395
27;9;3;6;-16.7;90.0;-0.18555555555555556;0.3333333333333333;44.751300000000015;1430.5900000000001;138;51;0.031281708945260354;0.3695652173913043
28;7;2;5;21.689999999999998;74.71000000000001;0.29032258064516125;0.2857142857142857;66.44130000000001;1505.3000000000002;145;53;0.0441382448681326;0.36551724137931035
29;8;3;5;-25.936799999999998;82.58;-0.3140808912569629;0.375;40.504500000000014;1587.88;153;56;0.02550853968813765;0.3660130718954248
30;6;4;2;19.247000000000003;63.65;0.3023880597014926;0.6666666666666666;59.75150000000002;1651.5300000000002;159;60;0.0361794820560329;0.37735849056603776
31;7;5;2;44.35939999999999;72.34;0.6132070776886921;0.7142857142857143;104.11090000000002;1723.8700000000001;166;65;0.0603937071820961;0.39156626506024095
32;7;4;3;5.790999999999997;72.9;0.07943758573388197;0.5714285714285714;109.90190000000001;1796.7700000000002;173;69;0.061166370765317765;0.3988439306358382
33;9;3;6;-45.6085;94.78;-0.48120384047267356;0.3333333333333333;64.29340000000002;1891.5500000000002;182;72;0.03398979672755149;0.3956043956043956
34;7;5;2;3.837999999999999;71.75;0.05349128919860626;0.7142857142857143;68.13140000000001;1963.3000000000002;189;77;0.03470249070442623;0.4074074074074074
