Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;5;3;2;10.9345;52.269999999999996;0.2091926535297494;0.6;10.9345;52.269999999999996;5;3;0.2091926535297494;0.6
10;8;3;5;-28.373999999999995;87.21;-0.32535259717922255;0.375;-17.439499999999995;139.48;13;6;-0.12503226268999137;0.46153846153846156
11;7;3;4;-22.644000000000002;73.53;-0.3079559363525092;0.42857142857142855;-40.0835;213.01;20;9;-0.1881766114266936;0.45
12;4;3;1;13.4847;40.39;0.333862342163902;0.75;-26.5988;253.39999999999998;24;12;-0.10496764009471193;0.5
13;7;5;2;28.496299999999998;71.82;0.3967738791423002;0.7142857142857143;1.8974999999999973;325.21999999999997;31;17;0.005834512022630827;0.5483870967741935
14;5;3;2;-1.3000000000000025;50.0;-0.02600000000000005;0.6;0.5974999999999948;375.21999999999997;36;20;0.0015923991258461566;0.5555555555555556
15;5;2;3;-7.380000000000001;52.980000000000004;-0.1392978482446206;0.4;-6.782500000000006;428.2;41;22;-0.015839560952825796;0.5365853658536586
16;3;2;1;8.200000000000003;30.0;0.27333333333333343;0.6666666666666666;1.4174999999999969;458.2;44;24;0.0030936272370143975;0.5454545454545454
17;4;0;4;-40.0;40.0;-1.0;0.0;-38.5825;498.2;48;24;-0.07744379767161783;0.5
18;4;1;3;-25.864;40.34;-0.6411502231036192;0.25;-64.4465;538.54;52;25;-0.119668919671705;0.4807692307692308
19;5;1;4;-21.5;50.0;-0.43;0.2;-85.9465;588.54;57;26;-0.1460334046963673;0.45614035087719296
20;5;2;3;-18.3593;50.83;-0.3611902419830809;0.4;-104.3058;639.37;62;28;-0.1631384018643352;0.45161290322580644
21;4;2;2;-2.219899999999999;43.17;-0.05142228399351399;0.5;-106.5257;682.54;66;30;-0.15607246461745833;0.45454545454545453
22;3;3;0;24.7943;31.59;0.7848781259892371;1.0;-81.73140000000001;714.13;69;33;-0.11444890986235;0.4782608695652174
23;6;3;3;-5.720000000000002;64.12;-0.08920773549594513;0.5;-87.4514;778.25;75;36;-0.11236929007388372;0.48
24;5;2;3;-20.353;57.4;-0.3545818815331011;0.4;-107.80440000000002;835.65;80;38;-0.12900664153652847;0.475
25;6;3;3;-6.8674000000000035;61.120000000000005;-0.11235929319371733;0.5;-114.67180000000002;896.77;86;41;-0.1278720296174047;0.47674418604651164
26;7;3;4;-14.9993;81.72999999999999;-0.18352257433011138;0.42857142857142855;-129.67110000000002;978.5;93;44;-0.1325202861522739;0.4731182795698925
27;9;5;4;25.673199999999994;96.09;0.26717868664793415;0.5555555555555556;-103.99790000000003;1074.59;102;49;-0.09677914367340106;0.4803921568627451
28;6;2;4;-17.629800000000003;64.86;-0.27181313598519896;0.3333333333333333;-121.62770000000003;1139.4499999999998;108;51;-0.10674246346921765;0.4722222222222222
29;9;6;3;23.5995;99.0;0.23837878787878786;0.6666666666666666;-98.02820000000003;1238.4499999999998;117;57;-0.07915394242803507;0.48717948717948717
30;9;2;7;-57.7663;94.59;-0.6107019769531663;0.2222222222222222;-155.79450000000003;1333.0399999999997;126;59;-0.11687158674908485;0.46825396825396826
31;9;6;3;14.520400000000002;94.82000000000001;0.15313646909934614;0.6666666666666666;-141.27410000000003;1427.8599999999997;135;65;-0.0989411426890592;0.48148148148148145
32;9;6;3;26.8665;95.14999999999999;0.2823594324750394;0.6666666666666666;-114.40760000000003;1523.0099999999998;144;71;-0.07511940171108532;0.4930555555555556
33;8;6;2;26.238;86.88;0.30200276243093926;0.75;-88.16960000000003;1609.8899999999999;152;77;-0.054767468584810165;0.506578947368421
34;9;4;5;-33.098000000000006;92.09;-0.35940927353675756;0.4444444444444444;-121.26760000000004;1701.9799999999998;161;81;-0.07125089601522935;0.5031055900621118
