Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;8;6;2;18.107800000000005;92.97;0.19477035602882656;0.75;18.107800000000005;92.97;8;6;0.19477035602882656;0.75
10;7;4;3;35.7903;75.56;0.47366728427739546;0.5714285714285714;53.89810000000001;168.53;15;10;0.3198130896576278;0.6666666666666666
11;6;2;4;-30.301499999999997;65.77;-0.46071917287517106;0.3333333333333333;23.59660000000001;234.3;21;12;0.10071105420401198;0.5714285714285714
12;9;5;4;-5.783700000000003;99.73;-0.05799358267321772;0.5555555555555556;17.812900000000006;334.03000000000003;30;17;0.05332724605574351;0.5666666666666667
13;5;3;2;-8.066500000000001;52.93000000000001;-0.1523993954279237;0.6;9.746400000000005;386.96000000000004;35;20;0.02518709944180278;0.5714285714285714
14;7;3;4;5.1;70.0;0.07285714285714286;0.42857142857142855;14.846400000000004;456.96000000000004;42;23;0.032489495798319334;0.5476190476190477
15;6;2;4;-31.691;62.31999999999999;-0.50852053915276;0.3333333333333333;-16.844599999999993;519.28;48;25;-0.03243837621321829;0.5208333333333334
16;3;1;2;-15.98;30.05;-0.5317803660565724;0.3333333333333333;-32.82459999999999;549.3299999999999;51;26;-0.05975388200171117;0.5098039215686274
17;7;2;5;-42.900000000000006;74.5;-0.5758389261744967;0.2857142857142857;-75.7246;623.8299999999999;58;28;-0.12138659570716381;0.4827586206896552
18;4;1;3;-22.1;40.0;-0.5525;0.25;-97.8246;663.8299999999999;62;29;-0.14736393353720081;0.46774193548387094
19;3;1;2;-16.6;30.0;-0.5533333333333333;0.3333333333333333;-114.4246;693.8299999999999;65;30;-0.16491734286496693;0.46153846153846156
20;7;2;5;-39.8124;70.17;-0.56737067122702;0.2857142857142857;-154.237;763.9999999999999;72;32;-0.20188089005235604;0.4444444444444444
21;5;1;4;-35.1013;55.03;-0.6378575322551335;0.2;-189.3383;819.0299999999999;77;33;-0.2311738275765235;0.42857142857142855
22;7;3;4;11.199999999999996;70.0;0.15999999999999995;0.42857142857142855;-178.13830000000002;889.0299999999999;84;36;-0.20037377816271673;0.42857142857142855
23;3;3;0;19.3945;30.27;0.6407168814007268;1.0;-158.74380000000002;919.2999999999998;87;39;-0.1726789948874144;0.4482758620689655
24;6;4;2;19.52;61.12;0.3193717277486911;0.6666666666666666;-139.2238;980.4199999999998;93;43;-0.14200424307949658;0.46236559139784944
25;2;1;1;-0.1836000000000002;20.119999999999997;-0.009125248508946334;0.5;-139.40740000000002;1000.5399999999998;95;44;-0.1393321606332581;0.4631578947368421
26;4;2;2;-4.4705;41.69;-0.10723195010793957;0.5;-143.8779;1042.2299999999998;99;46;-0.13804812757260876;0.46464646464646464
27;4;2;2;-6.874799999999999;42.76;-0.16077642656688493;0.5;-150.7527;1084.9899999999998;103;48;-0.1389438612337441;0.46601941747572817
28;8;3;5;-25.9691;85.25999999999999;-0.3045871452029088;0.375;-176.7218;1170.2499999999998;111;51;-0.1510120059816279;0.4594594594594595
29;6;3;3;-10.2754;64.96;-0.15818041871921182;0.5;-186.9972;1235.2099999999998;117;54;-0.1513889945839169;0.46153846153846156
30;9;4;5;-7.181700000000001;90.73;-0.07915463463022154;0.4444444444444444;-194.1789;1325.9399999999998;126;58;-0.14644621928594057;0.4603174603174603
31;7;5;2;21.082699999999996;76.95;0.27397920727745284;0.7142857142857143;-173.0962;1402.8899999999999;133;63;-0.12338544005588466;0.47368421052631576
32;6;5;1;49.184599999999996;60.96;0.8068339895013122;0.8333333333333334;-123.91160000000002;1463.85;139;68;-0.08464774396283774;0.4892086330935252
33;4;2;2;-5.268499999999996;42.239999999999995;-0.12472774621212113;0.5;-129.1801;1506.09;143;70;-0.08577183302458685;0.48951048951048953
34;7;1;6;-58.2;70.0;-0.8314285714285715;0.14285714285714285;-187.38010000000003;1576.09;150;71;-0.11888921317945043;0.47333333333333333
